 1        1   (0)      1 :  0.0072 0.8037 0.0272 0.1440 0.0178 
 2        2   (0)      4 :  0.0068 0.0724 0.0152 0.8966 0.0090 
 3        3   (0)      6 :  0.0140 0.0092 0.1154 0.0294 0.8320 
 4        4  (12)      6 :  0.0142 0.0202 0.1701 0.0992 0.6963 
 5        5   (0)      4 :  0.0068 0.0438 0.0166 0.9238 0.0090 
 6        6   (0)      4 :  0.0072 0.0404 0.0166 0.9272 0.0086 
 7        7   (0)      4 :  0.0290 0.0546 0.0334 0.8639 0.0190 
 8        8   (0)      4 :  0.0100 0.1422 0.0276 0.8070 0.0132 
 9        9   (0)      4 :  0.0096 0.0536 0.0198 0.9058 0.0112 
10       10   (0)      4 :  0.0074 0.0830 0.0174 0.8828 0.0094 
11       11   (0)      4 :  0.0086 0.0614 0.0184 0.9005 0.0112 
12       12   (0)      4 :  0.0082 0.0786 0.0160 0.8878 0.0094 
13       13   (0)      4 :  0.0070 0.0528 0.0180 0.9126 0.0096 
14       14   (0)      4 :  0.0118 0.0800 0.0242 0.8689 0.0152 
15       15   (0)      4 :  0.0074 0.0684 0.0186 0.8958 0.0098 
16       16   (0)      4 :  0.0092 0.2159 0.0214 0.7423 0.0112 
17       17   (0)      4 :  0.0068 0.0506 0.0158 0.9182 0.0086 
18       18   (0)      4 :  0.0110 0.0590 0.0208 0.8972 0.0120 
19       19   (0)      4 :  0.0208 0.0722 0.0294 0.8614 0.0162 
20       20   (0)      4 :  0.0104 0.0618 0.0236 0.8898 0.0144 
21       21   (0)      1 :  0.0054 0.8569 0.0150 0.1104 0.0122 
22       22   (0)      1 :  0.0072 0.8618 0.0332 0.0732 0.0246 
23       23   (0)      1 :  0.0064 0.8700 0.0158 0.0960 0.0118 
24       24   (0)      1 :  0.0062 0.9023 0.0142 0.0650 0.0122 
25       25  (12)      1 :  0.0092 0.8634 0.0196 0.0906 0.0172 
26       26  (12)      1 :  0.0058 0.9150 0.0138 0.0544 0.0110 
27       27   (0)      1 :  0.0104 0.8216 0.0232 0.1228 0.0220 
28       28   (0)      1 :  0.0058 0.9184 0.0132 0.0522 0.0104 
29       29   (0)      1 :  0.0070 0.7977 0.0186 0.1609 0.0158 
30       30  (12)      7 :  0.0088 0.4722 0.0230 0.4804 0.0156 
31       31  (12)      7 :  0.0084 0.4609 0.0270 0.4839 0.0198 
32       32   (0)      7 :  0.0070 0.3452 0.0192 0.6142 0.0144 
33       33   (0)      7 :  0.0068 0.4478 0.0202 0.5110 0.0142 
34       34   (0)      7 :  0.0084 0.5045 0.0228 0.4503 0.0140 
35       35  (12)      7 :  0.0066 0.4363 0.0192 0.5245 0.0134 
36       36   (0)      7 :  0.0064 0.3670 0.0152 0.5994 0.0120 
37       37  (12)      7 :  0.0060 0.5123 0.0178 0.4521 0.0118 
38       38   (0)      7 :  0.0080 0.4154 0.0182 0.5432 0.0152 
39       39   (0)      7 :  0.0062 0.4053 0.0152 0.5618 0.0116 
40       40   (0)      7 :  0.0054 0.4843 0.0154 0.4839 0.0110 
41       41   (0)      3 :  0.6477 0.0128 0.0921 0.0208 0.2266 
42       42   (0)      3 :  0.3475 0.0172 0.1588 0.0324 0.4441 
43       43   (0)      3 :  0.2712 0.0146 0.1642 0.0352 0.5148 
44       44   (0)      3 :  0.3067 0.0172 0.1413 0.0302 0.5046 
