pop	nest	lat	lon
1	AV1	57.209158	-3.8102679
1	AV2	57.209349	-3.8107243
1	AV4	57.209886	-3.8095751
1	AV2020	57.207963	-3.8121300
2	BX1	54.32996	-0.551041
2	BX2	54.330405	-0.550858
2	BX3	54.330575	-0.550609
3	CF1	54.32601	0.83178
3	CF2	54.32631	0.83136
3	CF3	54.326678	0.831986
3	CF4	54.325668	0.828177
4	FB1	57.120346	-3.8999017
4	FB4	57.119240	-3.8981933
4	FB5	57.118923	-3.8977476
4	FB6	57.120486	-3.8965722
4	FB7	57.120486	-3.8965722
4	FB8	57.119525	-3.8971507
4	FB2020	57.118108	-3.8981849
5	GB1	54.189722	2.274528
6	LS1_21	53.311436	1.617263
6	LS2_20	53.307249	1.609701
6	LS1_20	53.31142	1.617537
6	LS4_21	53.306732	1.606743
6	LS2_21	53.307165	1.60966
6	LS3_21	53.307055	1.609665
7	AB10	57.224642	-3.7152692
7	AB5	57.224542	-3.7134094
7	AB6	57.224531	-3.7135249
7	AB7	57.224537	-3.7137570
7	AB8	57.224536	-3.7144858
7	AB2020	57.229587	-3.6958183
	
	
