Ant ID,Population number,Site ID,Site name,Nest ID,Host species,Longitude,Latitude
GA01,1,AV,Aviemore,AV2020,Formica aquilonia,-3.81213,57.207963
GA02,4,FB,Feshiebridge,FB2020,Formica lugubris,-3.8981849,57.118108
GA03,4,FB,Feshiebridge,FB2020,Formica lugubris,-3.8981849,57.118108
GA04,7,AB,Abernethy,AB2020,Formica lugubris,-3.6958183,57.229587
GA05,6,LS,Longshaw Estate,LS2_20,Formica lugubris,1.609701,53.307249
GA06,6,LS,Longshaw Estate,LS4_21,Formica lugubris,1.606743,53.306732
GA07,4,FB,Feshiebridge,FB1,Formica aquilonia,-3.8999017,57.120346
GA08,4,FB,Feshiebridge,FB1,Formica aquilonia,-3.8999017,57.120346
GA09,4,FB,Feshiebridge,FB1,Formica aquilonia,-3.8999017,57.120346
GA10,4,FB,Feshiebridge,FB1,Formica aquilonia,-3.8999017,57.120346
GA11,4,FB,Feshiebridge,FB4,Formica lugubris,-3.8981933,57.11924
GA12,4,FB,Feshiebridge,FB4,Formica lugubris,-3.8981933,57.11924
GA13,4,FB,Feshiebridge,FB4,Formica lugubris,-3.8981933,57.11924
GA14,4,FB,Feshiebridge,FB6,Formica lugubris,-3.8965722,57.120486
GA15,4,FB,Feshiebridge,FB6,Formica lugubris,-3.8965722,57.120486
GA16,4,FB,Feshiebridge,FB6,Formica lugubris,-3.8965722,57.120486
GA17,4,FB,Feshiebridge,FB5,Formica lugubris,-3.8977476,57.118923
GA18,4,FB,Feshiebridge,FB5,Formica lugubris,-3.8977476,57.118923
GA19,4,FB,Feshiebridge,FB5,Formica lugubris,-3.8977476,57.118923
GA20,4,FB,Feshiebridge,FB7,Formica lugubris,-3.8965722,57.120486
GA21,4,FB,Feshiebridge,FB7,Formica lugubris,-3.8965722,57.120486
GA22,4,FB,Feshiebridge,FB7,Formica lugubris,-3.8965722,57.120486
GA23,4,FB,Feshiebridge,FB8,Formica lugubris,-3.8971507,57.119525
GA24,4,FB,Feshiebridge,FB8,Formica lugubris,-3.8971507,57.119525
GA25,4,FB,Feshiebridge,FB8,Formica lugubris,-3.8971507,57.119525
GA26,1,AV,Aviemore,AV1,Formica aquilonia,-3.8102679,57.209158
GA27,1,AV,Aviemore,AV1,Formica aquilonia,-3.8102679,57.209158
GA28,1,AV,Aviemore,AV1,Formica aquilonia,-3.8102679,57.209158
GA29,1,AV,Aviemore,AV2,Formica aquilonia,-3.8107243,57.209349
GA30,1,AV,Aviemore,AV2,Formica aquilonia,-3.8107243,57.209349
GA31,1,AV,Aviemore,AV2,Formica aquilonia,-3.8107243,57.209349
GA32,1,AV,Aviemore,AV4,Formica aquilonia,-3.8095751,57.209886
GA33,1,AV,Aviemore,AV4,Formica aquilonia,-3.8095751,57.209886
GA34,1,AV,Aviemore,AV4,Formica aquilonia,-3.8095751,57.209886
GA35,7,AB,Abernethy,AB5,Formica lugubris,-3.7134094,57.224542
GA36,7,AB,Abernethy,AB5,Formica lugubris,-3.7134094,57.224542
GA37,7,AB,Abernethy,AB5,Formica lugubris,-3.7134094,57.224542
GA38,7,AB,Abernethy,AB6,Formica lugubris,-3.7135249,57.224531
GA39,7,AB,Abernethy,AB6,Formica lugubris,-3.7135249,57.224531
GA40,7,AB,Abernethy,AB6,Formica lugubris,-3.7135249,57.224531
GA41,7,AB,Abernethy,AB7,Formica lugubris,-3.713757,57.224537
GA42,7,AB,Abernethy,AB7,Formica lugubris,-3.713757,57.224537
GA43,7,AB,Abernethy,AB7,Formica lugubris,-3.713757,57.224537
GA44,7,AB,Abernethy,AB8,Formica lugubris,-3.7144858,57.224536
GA45,7,AB,Abernethy,AB8,Formica lugubris,-3.7144858,57.224536
GA46,7,AB,Abernethy,AB8,Formica lugubris,-3.7144858,57.224536
GA47,7,AB,Abernethy,AB10,Formica lugubris,-3.7152692,57.224642
GA48,7,AB,Abernethy,AB10,Formica lugubris,-3.7152692,57.224642
GA49,3,CF,Cropton Forest,CF1,Formica lugubris,0.83178,54.32601
GA50,3,CF,Cropton Forest,CF1,Formica lugubris,0.83178,54.32601
GA51,3,CF,Cropton Forest,CF1,Formica lugubris,0.83178,54.32601
GA52,3,CF,Cropton Forest,CF2,Formica lugubris,0.83136,54.32631
GA53,3,CF,Cropton Forest,CF2,Formica lugubris,0.83136,54.32631
GA54,3,CF,Cropton Forest,CF2,Formica lugubris,0.83136,54.32631
GA55,3,CF,Cropton Forest,CF3,Formica lugubris,0.831986,54.326678
GA56,3,CF,Cropton Forest,CF3,Formica lugubris,0.831986,54.326678
GA57,3,CF,Cropton Forest,CF3,Formica lugubris,0.831986,54.326678
GA58,3,CF,Cropton Forest,CF4,Formica lugubris,0.828177,54.325668
GA59,3,CF,Cropton Forest,CF4,Formica lugubris,0.828177,54.325668
GA60,3,CF,Cropton Forest,CF4,Formica lugubris,0.828177,54.325668
GA61,3,CF,Cropton Forest,CF4,Formica lugubris,0.828177,54.325668
GA62,2,BX,Broxa Forest,BX1,Formica lugubris,-0.551041,54.32996
GA63,2,BX,Broxa Forest,BX1,Formica lugubris,-0.551041,54.32996
GA64,2,BX,Broxa Forest,BX1,Formica lugubris,-0.551041,54.32996
GA65,2,BX,Broxa Forest,BX1,Formica lugubris,-0.551041,54.32996
GA66,2,BX,Broxa Forest,BX2,Formica lugubris,-0.550858,54.330405
GA67,2,BX,Broxa Forest,BX2,Formica lugubris,-0.550858,54.330405
GA68,2,BX,Broxa Forest,BX2,Formica lugubris,-0.550858,54.330405
GA69,2,BX,Broxa Forest,BX2,Formica lugubris,-0.550858,54.330405
GA70,2,BX,Broxa Forest,BX3,Formica lugubris,-0.550609,54.330575
GA71,2,BX,Broxa Forest,BX3,Formica lugubris,-0.550609,54.330575
GA72,2,BX,Broxa Forest,BX3,Formica lugubris,-0.550609,54.330575
GA73,2,BX,Broxa Forest,BX3,Formica lugubris,-0.550609,54.330575
GA74,6,LS,Longshaw Estate,LS1_21,Formica lugubris,1.617263,53.311436
GA75,6,LS,Longshaw Estate,LS1_21,Formica lugubris,1.617263,53.311436
GA76,6,LS,Longshaw Estate,LS1_21,Formica lugubris,1.617263,53.311436
GA77,6,LS,Longshaw Estate,LS2_21,Formica lugubris,1.60966,53.307165
GA78,6,LS,Longshaw Estate,LS3_21,Formica lugubris,1.609665,53.307055
GA79,6,LS,Longshaw Estate,LS3_21,Formica lugubris,1.609665,53.307055
GA80,6,LS,Longshaw Estate,LS3_21,Formica lugubris,1.609665,53.307055
GA81,5,GB,Gaitbarrows,GB1,Formica rufa,2.274528,54.189722
GA82,5,GB,Gaitbarrows,GB1,Formica rufa,2.274528,54.189722
GA83,5,GB,Gaitbarrows,GB1,Formica rufa,2.274528,54.189722
GA84,6,LS,Longshaw Estate,LS2_20,Formica lugubris,1.609701,53.307249
GA85,6,LS,Longshaw Estate,LS2_20,Formica lugubris,1.609701,53.307249
GA86,6,LS,Longshaw Estate,LS1_20,Formica lugubris,1.617537,53.31142
GA89,6,LS,Longshaw Estate,LS4_21,Formica lugubris,1.606743,53.306732
GA90,6,LS,Longshaw Estate,LS4_21,Formica lugubris,1.606743,53.306732
GA91,1,AV,Aviemore,AV2020,Formica aquilonia,-3.81213,57.207963
GA92,1,AV,Aviemore,AV2020,Formica aquilonia,-3.81213,57.207963
GA93,4,FB,Feshiebridge,FB2020,Formica lugubris,-3.8981849,57.118108
GA94,4,FB,Feshiebridge,FB2020,Formica lugubris,-3.8981849,57.118108
GA95,7,AB,Abernethy,AB2020,Formica lugubris,-3.6958183,57.229587
